transaction_id,customer_id,product_id,quantity,transaction_date,branch
3001,1695,88,2,2025-08-26 06:32:28,Luxor
3002,119,13,3,2025-08-25 02:03:36,Luxor
3003,1293,99,4,2025-08-24 12:14:50,Cairo
3004,964,74,5,2025-08-23 21:56:36,Cairo
3005,1474,51,2,2025-08-23 23:02:08,Cairo
3006,721,6,3,2025-08-26 01:39:39,Giza
3007,170,56,5,2025-08-25 16:55:47,Aswan
3008,1094,41,3,2025-08-24 15:43:44,Cairo
3009,1546,9,5,2025-08-25 15:13:08,Alexandria
3010,240,79,1,2025-08-25 17:57:12,Giza
3011,1799,56,3,2025-08-24 01:01:45,Luxor
3012,1168,32,4,2025-08-26 14:55:35,Giza
3013,1622,90,1,2025-08-25 06:25:35,Cairo
3014,699,97,1,2025-08-25 12:58:46,Cairo
3015,1541,61,4,2025-08-26 13:04:56,Alexandria
3016,1379,98,5,2025-08-25 06:44:43,Aswan
3017,1192,13,4,2025-08-25 18:46:08,Aswan
3018,506,67,2,2025-08-24 08:56:06,Cairo
3019,1880,6,2,2025-08-25 23:47:47,Aswan
3020,1465,12,4,2025-08-25 12:30:26,Aswan
3021,1291,92,2,2025-08-25 11:01:27,Alexandria
3022,1118,38,2,2025-08-24 06:20:19,Luxor
3023,1828,12,4,2025-08-26 19:22:04,Giza
3024,1438,90,2,2025-08-23 21:18:05,Giza
3025,619,1,4,2025-08-25 22:32:28,Alexandria
3026,873,29,4,2025-08-23 23:39:32,Aswan
3027,1587,95,5,2025-08-26 10:12:58,Aswan
3028,1554,3,3,2025-08-24 15:18:14,Cairo
3029,749,24,4,2025-08-24 18:05:04,Cairo
3030,111,22,3,2025-08-24 09:33:00,Luxor
3031,913,38,3,2025-08-24 06:19:28,Giza
3032,22,94,1,2025-08-24 05:56:25,Aswan
3033,1650,11,4,2025-08-26 19:55:54,Giza
3034,1994,7,3,2025-08-24 18:40:22,Alexandria
3035,1623,56,3,2025-08-24 06:44:38,Cairo
3036,560,55,3,2025-08-25 09:55:21,Luxor
