transaction_id,customer_id,product_id,quantity,transaction_date,branch
5001,681,53,2,2025-08-26 06:01:44,Luxor
5002,1746,56,1,2025-08-23 20:14:08,Cairo
5003,737,73,2,2025-08-25 05:43:31,Giza
5004,203,83,5,2025-08-23 23:23:47,Cairo
5005,45,91,2,2025-08-25 23:53:58,Cairo
5006,146,56,1,2025-08-23 21:01:08,Luxor
5007,171,62,5,2025-08-25 10:00:00,Giza
5008,339,44,1,2025-08-25 12:42:06,Alexandria
5009,866,98,1,2025-08-25 13:25:37,Luxor
5010,1679,6,1,2025-08-24 12:17:51,Cairo
5011,1697,70,1,2025-08-26 14:11:13,Luxor
5012,1138,66,5,2025-08-24 19:17:01,Cairo
5013,38,99,2,2025-08-25 04:59:29,Luxor
5014,1252,33,2,2025-08-26 09:32:34,Cairo
5015,656,79,1,2025-08-26 05:11:06,Cairo
5016,704,24,3,2025-08-24 09:43:44,Aswan
5017,391,2,1,2025-08-25 07:20:36,Giza
5018,28,76,2,2025-08-26 05:45:25,Luxor
5019,354,73,1,2025-08-26 15:25:03,Alexandria
5020,66,77,1,2025-08-26 11:16:58,Luxor
5021,1733,61,5,2025-08-24 10:41:30,Aswan
5022,29,40,1,2025-08-25 09:51:59,Aswan
5023,758,27,1,2025-08-26 04:48:42,Cairo
5024,1231,46,5,2025-08-25 23:38:45,Alexandria
5025,631,4,1,2025-08-26 15:30:21,Alexandria
5026,1592,89,5,2025-08-24 10:10:49,Luxor
5027,1520,2,5,2025-08-26 05:48:18,Luxor
5028,391,3,1,2025-08-26 19:18:51,Luxor
5029,1226,48,5,2025-08-25 01:50:54,Alexandria
5030,140,44,2,2025-08-24 06:37:00,Luxor
5031,797,92,5,2025-08-25 21:32:10,Alexandria
5032,1243,73,4,2025-08-26 09:14:49,Alexandria
5033,153,27,5,2025-08-24 17:05:57,Aswan
5034,32,56,1,2025-08-25 19:06:44,Cairo
5035,1833,57,4,2025-08-26 16:45:19,Alexandria
5036,969,83,4,2025-08-26 06:44:21,Luxor
5037,612,89,4,2025-08-25 08:36:38,Cairo
5038,1235,95,3,2025-08-24 03:48:16,Cairo
5039,1923,98,2,2025-08-25 05:13:55,Aswan
5040,445,53,4,2025-08-24 10:27:56,Luxor
5041,738,94,4,2025-08-25 17:05:22,Cairo
5042,1660,52,5,2025-08-24 03:07:51,Alexandria
5043,1473,23,2,2025-08-25 21:46:11,Cairo
5044,1674,60,4,2025-08-25 02:28:37,Luxor
5045,402,32,4,2025-08-26 13:30:10,Cairo
5046,1240,92,5,2025-08-26 04:55:41,Alexandria
5047,941,85,1,2025-08-23 20:55:19,Luxor
5048,1386,54,3,2025-08-24 10:36:08,Luxor
5049,1372,45,4,2025-08-24 03:58:31,Alexandria
5050,414,29,4,2025-08-24 11:46:37,Cairo
5051,1544,26,2,2025-08-24 09:40:05,Luxor
5052,1324,85,2,2025-08-25 16:49:21,Cairo
5053,954,43,1,2025-08-25 12:52:11,Cairo
5054,1176,80,3,2025-08-25 10:18:56,Cairo
5055,750,65,2,2025-08-25 13:28:15,Giza
5056,1122,24,2,2025-08-25 09:40:33,Luxor
5057,1269,74,3,2025-08-24 00:36:33,Aswan
5058,843,34,2,2025-08-25 02:44:13,Alexandria
5059,1265,31,1,2025-08-25 19:45:03,Alexandria
5060,841,61,1,2025-08-25 07:24:41,Alexandria
5061,975,1,2,2025-08-25 21:08:14,Giza
5062,1529,19,3,2025-08-25 11:27:17,Alexandria
5063,770,13,4,2025-08-24 00:39:09,Aswan
5064,1229,68,2,2025-08-24 16:17:21,Alexandria
5065,298,82,5,2025-08-25 05:31:43,Luxor
5066,491,96,2,2025-08-24 03:51:55,Aswan
5067,309,57,5,2025-08-26 11:16:05,Cairo
5068,1899,25,3,2025-08-24 16:39:56,Luxor
5069,1284,33,5,2025-08-26 14:32:40,Aswan
5070,1845,11,4,2025-08-23 21:36:53,Cairo
5071,1019,37,5,2025-08-26 05:21:56,Alexandria
5072,1060,2,4,2025-08-25 08:51:22,Giza
5073,449,69,2,2025-08-26 00:47:22,Cairo
5074,546,69,1,2025-08-25 04:19:36,Luxor
5075,1423,30,3,2025-08-26 10:47:22,Giza
5076,626,3,2,2025-08-26 19:20:57,Cairo
5077,1273,76,5,2025-08-24 21:56:13,Luxor
5078,1952,60,3,2025-08-24 00:36:21,Giza
5079,1575,11,4,2025-08-26 16:26:23,Alexandria
5080,842,41,1,2025-08-24 09:30:47,Aswan
5081,1003,66,1,2025-08-24 06:47:59,Luxor
5082,1552,86,5,2025-08-25 11:33:32,Alexandria
5083,1203,74,2,2025-08-26 10:38:29,Alexandria
5084,318,69,3,2025-08-24 03:04:06,Luxor
5085,823,63,5,2025-08-24 11:37:38,Cairo
5086,1939,27,5,2025-08-24 15:56:38,Luxor
5087,1284,42,5,2025-08-26 11:32:03,Alexandria
5088,1733,21,4,2025-08-24 03:48:42,Giza
5089,1122,6,4,2025-08-25 16:46:26,Cairo
5090,4,94,1,2025-08-26 04:02:33,Luxor
5091,1,73,2,2025-08-25 23:42:40,Aswan
5092,206,30,4,2025-08-24 03:46:43,Luxor
5093,982,43,5,2025-08-24 19:57:03,Giza
5094,798,50,1,2025-08-24 18:25:00,Cairo
5095,1156,96,2,2025-08-25 07:05:28,Aswan
5096,1241,7,3,2025-08-25 23:42:01,Aswan
5097,1059,71,4,2025-08-26 07:24:59,Luxor
5098,934,12,2,2025-08-26 06:56:29,Aswan
5099,3,75,4,2025-08-24 15:12:42,Alexandria
5100,422,41,3,2025-08-23 21:12:03,Aswan
5101,134,86,1,2025-08-24 22:02:10,Alexandria
5102,1427,5,4,2025-08-25 23:05:44,Aswan
5103,619,33,5,2025-08-25 21:39:21,Alexandria
5104,220,54,2,2025-08-24 17:45:42,Aswan
5105,1434,33,4,2025-08-26 08:27:17,Cairo
5106,363,74,2,2025-08-24 06:46:25,Cairo
5107,1690,51,4,2025-08-24 05:48:06,Luxor
5108,1364,4,4,2025-08-25 09:04:10,Alexandria
5109,1673,88,1,2025-08-25 13:57:09,Giza
5110,1548,18,1,2025-08-25 03:32:37,Alexandria
5111,489,77,1,2025-08-25 15:20:17,Luxor
5112,1490,22,4,2025-08-25 16:30:52,Aswan
5113,1860,9,4,2025-08-25 15:09:06,Alexandria
5114,1618,52,4,2025-08-25 06:59:02,Aswan
5115,1345,47,5,2025-08-26 09:27:49,Luxor
5116,289,75,3,2025-08-26 12:50:47,Alexandria
5117,1480,46,1,2025-08-24 20:19:01,Alexandria
5118,607,79,5,2025-08-24 02:59:32,Luxor
5119,1195,57,4,2025-08-26 13:06:55,Giza
5120,447,8,4,2025-08-25 00:43:24,Luxor
5121,380,9,2,2025-08-25 18:26:31,Alexandria
5122,1504,54,3,2025-08-26 07:50:13,Giza
5123,88,85,5,2025-08-26 14:19:58,Luxor
5124,834,26,1,2025-08-25 05:38:26,Luxor
5125,1012,18,1,2025-08-26 01:47:37,Luxor
5126,529,91,2,2025-08-26 14:59:54,Luxor
5127,688,5,3,2025-08-23 20:36:39,Luxor
5128,891,9,5,2025-08-24 03:54:39,Alexandria
5129,1883,54,3,2025-08-23 21:40:17,Cairo
5130,120,89,3,2025-08-24 05:06:17,Aswan
5131,1338,63,5,2025-08-25 15:36:02,Aswan
5132,1099,94,4,2025-08-24 07:22:42,Luxor
5133,392,88,2,2025-08-25 20:36:22,Alexandria
5134,612,99,4,2025-08-26 19:53:17,Luxor
5135,1324,64,1,2025-08-26 03:26:18,Luxor
5136,787,88,5,2025-08-24 18:30:06,Luxor
5137,1878,50,2,2025-08-25 07:25:47,Luxor
5138,33,64,4,2025-08-24 18:16:35,Cairo
5139,1410,69,4,2025-08-25 22:47:19,Aswan
5140,1167,26,1,2025-08-26 17:44:44,Luxor
5141,895,36,2,2025-08-26 06:27:37,Luxor
5142,596,86,3,2025-08-24 04:30:22,Alexandria
5143,1656,49,4,2025-08-24 04:05:17,Cairo
5144,1979,28,3,2025-08-24 17:38:37,Aswan
5145,1707,67,1,2025-08-26 03:58:23,Alexandria
5146,1960,18,2,2025-08-26 18:34:35,Luxor
5147,370,99,1,2025-08-24 16:02:04,Aswan
5148,1793,19,4,2025-08-26 01:37:24,Luxor
5149,544,99,4,2025-08-24 14:50:58,Giza
5150,1730,98,1,2025-08-25 13:43:39,Giza
5151,1840,62,1,2025-08-26 03:55:58,Aswan
5152,598,71,1,2025-08-26 01:53:10,Aswan
5153,1791,14,1,2025-08-26 08:28:01,Alexandria
5154,1221,53,1,2025-08-26 08:25:15,Alexandria
5155,1877,25,1,2025-08-25 16:24:11,Aswan
5156,410,66,3,2025-08-24 21:26:48,Luxor
5157,628,86,3,2025-08-25 05:31:23,Luxor
5158,392,90,5,2025-08-24 11:18:21,Cairo
5159,499,26,1,2025-08-25 20:54:40,Luxor
5160,1466,99,4,2025-08-26 04:11:24,Luxor
5161,1921,40,4,2025-08-25 06:19:56,Giza
5162,996,67,5,2025-08-26 12:09:48,Giza
5163,96,35,1,2025-08-26 18:55:27,Cairo
5164,47,14,3,2025-08-24 02:58:42,Luxor
5165,502,20,1,2025-08-25 18:18:09,Luxor
5166,665,77,2,2025-08-25 18:36:03,Alexandria
5167,511,88,2,2025-08-24 22:43:47,Cairo
5168,1718,99,4,2025-08-24 06:42:25,Cairo
5169,77,47,4,2025-08-25 16:52:48,Luxor
5170,1443,55,4,2025-08-25 07:19:21,Alexandria
5171,1580,74,1,2025-08-24 20:05:10,Luxor
5172,219,30,1,2025-08-25 15:53:26,Aswan
5173,246,56,1,2025-08-26 09:50:16,Giza
5174,1728,77,3,2025-08-23 23:33:21,Alexandria
5175,1042,32,1,2025-08-24 15:24:50,Luxor
5176,1060,98,1,2025-08-25 09:35:46,Luxor
5177,824,55,3,2025-08-26 17:48:22,Giza
5178,1239,95,1,2025-08-25 05:39:37,Alexandria
5179,1704,7,1,2025-08-24 05:51:50,Giza
5180,1504,38,5,2025-08-23 20:23:13,Giza
5181,1864,22,4,2025-08-24 17:45:21,Alexandria
5182,818,33,3,2025-08-25 10:13:05,Giza
5183,95,76,2,2025-08-24 03:26:37,Cairo
5184,1246,36,1,2025-08-25 14:45:55,Luxor
5185,1228,81,3,2025-08-26 00:18:24,Giza
5186,400,98,2,2025-08-26 10:56:14,Aswan
5187,270,67,4,2025-08-24 01:26:31,Aswan
5188,1325,12,5,2025-08-24 01:28:33,Giza
5189,948,86,1,2025-08-25 05:21:44,Luxor
5190,1648,52,2,2025-08-26 13:14:08,Cairo
5191,305,92,3,2025-08-25 22:43:52,Luxor
5192,1819,36,4,2025-08-26 07:24:48,Giza
5193,959,71,3,2025-08-24 02:06:42,Alexandria
5194,1737,84,3,2025-08-24 15:14:03,Aswan
5195,410,5,5,2025-08-26 07:32:36,Cairo
5196,1124,98,3,2025-08-23 22:36:44,Giza
5197,1540,61,5,2025-08-23 23:57:07,Giza
5198,1184,63,5,2025-08-26 19:42:02,Luxor
5199,1543,50,1,2025-08-26 01:43:16,Luxor
5200,1270,60,1,2025-08-26 01:10:48,Cairo
5201,1418,73,4,2025-08-26 14:46:29,Aswan
5202,299,35,2,2025-08-24 05:59:31,Giza
5203,1484,56,5,2025-08-24 19:06:08,Luxor
5204,240,17,4,2025-08-24 03:46:17,Luxor
5205,1264,81,1,2025-08-24 19:21:46,Alexandria
5206,227,74,2,2025-08-24 05:26:19,Aswan
