date_key,time_key,zone_id,building_id,container_id,fill_level_percent,truck_id
20250901,080000,Z2,B159,C001,38,T000
20250901,080000,Z4,B036,C002,33,T000
20250901,080000,Z3,B232,C003,33,T000
20250901,080000,Z2,B169,C004,36,T000
20250901,080000,Z5,B055,C005,39,T000
20250901,080000,Z3,B105,C006,45,T000
20250901,080000,Z3,B257,C007,34,T000
20250901,080000,Z2,B070,C008,34,T000
20250901,080000,Z3,B261,C009,37,T000
20250901,080000,Z4,B024,C010,26,T000
20250901,080000,Z4,B099,C011,44,T000
20250901,080000,Z1,B019,C012,25,T000
20250901,080000,Z1,B205,C013,24,T000
20250901,080000,Z1,B126,C014,37,T000
20250901,080000,Z3,B187,C015,46,T000
20250901,080000,Z5,B218,C016,34,T000
20250901,080000,Z4,B277,C017,33,T000
20250901,080000,Z3,B155,C018,37,T000
20250901,080000,Z4,B065,C019,31,T000
20250901,080000,Z2,B172,C020,42,T000
20250901,080000,Z4,B236,C021,32,T000
20250901,080000,Z5,B025,C022,41,T000
20250901,080000,Z5,B056,C023,41,T000
20250901,080000,Z4,B113,C024,28,T000
20250901,080000,Z5,B262,C025,52,T000
20250901,080000,Z4,B045,C026,26,T000
20250901,080000,Z1,B181,C027,35,T000
20250901,080000,Z5,B098,C028,42,T000
20250901,080000,Z4,B142,C029,39,T000
20250901,080000,Z5,B253,C030,39,T000
20250901,080000,Z1,B083,C031,41,T000
20250901,080000,Z1,B138,C032,44,T000
20250901,080000,Z5,B254,C033,42,T000
20250901,080000,Z3,B185,C034,43,T000
20250901,080000,Z3,B027,C035,36,T000
20250901,080000,Z2,B093,C036,41,T000
20250901,080000,Z3,B232,C037,43,T000
20250901,080000,Z1,B212,C038,40,T000
20250901,080000,Z4,B190,C039,20,T000
20250901,080000,Z5,B241,C040,33,T000
20250901,080000,Z2,B154,C041,22,T000
20250901,080000,Z3,B268,C042,43,T000
20250901,080000,Z5,B211,C043,40,T000
20250901,080000,Z3,B268,C044,41,T000
20250901,080000,Z3,B157,C045,36,T000
20250901,080000,Z5,B016,C046,17,T000
20250901,080000,Z3,B295,C047,21,T000
20250901,080000,Z3,B289,C048,38,T000
20250901,080000,Z3,B124,C049,26,T000
20250901,080000,Z4,B099,C050,27,T000
20250901,080000,Z2,B238,C051,23,T000
20250901,080000,Z2,B030,C052,37,T000
20250901,080000,Z5,B104,C053,19,T000
20250901,080000,Z1,B015,C054,41,T000
20250901,080000,Z1,B212,C055,37,T000
20250901,080000,Z3,B222,C056,29,T000
20250901,080000,Z2,B007,C057,32,T000
20250901,080000,Z4,B080,C058,32,T000
20250901,080000,Z1,B087,C059,38,T000
20250901,080000,Z5,B177,C060,28,T000
20250901,080000,Z2,B112,C061,35,T000
20250901,080000,Z2,B167,C062,37,T000
20250901,080000,Z5,B223,C063,43,T000
20250901,080000,Z5,B042,C064,37,T000
20250901,080000,Z4,B119,C065,21,T000
20250901,080000,Z1,B057,C066,40,T000
20250901,080000,Z3,B139,C067,16,T000
20250901,080000,Z5,B018,C068,27,T000
20250901,080000,Z4,B225,C069,50,T000
20250901,080000,Z2,B026,C070,24,T000
20250901,080000,Z5,B175,C071,49,T000
20250901,080000,Z2,B297,C072,33,T000
20250901,080000,Z4,B022,C073,43,T000
20250901,080000,Z5,B215,C074,39,T000
20250901,080000,Z4,B219,C075,47,T000
20250901,080000,Z3,B237,C076,34,T000
20250901,080000,Z1,B186,C077,49,T000
20250901,080000,Z3,B206,C078,31,T000
20250901,080000,Z2,B233,C079,21,T000
20250901,080000,Z5,B291,C080,26,T000
20250901,080000,Z4,B137,C081,22,T000
20250901,080000,Z1,B103,C082,52,T000
20250901,080000,Z3,B268,C083,41,T000
20250901,080000,Z3,B300,C084,49,T000
20250901,080000,Z1,B191,C085,44,T000
20250901,080000,Z4,B118,C086,49,T000
20250901,080000,Z3,B193,C087,38,T000
20250901,080000,Z5,B094,C088,28,T000
20250901,080000,Z1,B001,C089,46,T000
20250901,080000,Z5,B173,C090,29,T000
20250901,080000,Z4,B036,C091,25,T000
20250901,080000,Z1,B279,C092,25,T000
20250901,080000,Z4,B276,C093,35,T000
20250901,080000,Z5,B005,C094,34,T000
20250901,080000,Z3,B300,C095,18,T000
20250901,080000,Z5,B020,C096,20,T000
20250901,080000,Z4,B086,C097,38,T000
20250901,080000,Z1,B298,C098,37,T000
20250901,080000,Z2,B093,C099,31,T000
